League,Season,Level,Season_ID,DivName,Current Season
Belgium,1995-96,B1,9596,Jupiler,N
Belgium,1996-97,B1,9697,Jupiler,N
Belgium,1997-98,B1,9798,Jupiler,N
Belgium,1998-99,B1,9899,Jupiler,N
Belgium,1999-00,B1,9900,Jupiler,N
Belgium,2000-01,B1,1,Jupiler,N
Belgium,2001-02,B1,102,Jupiler,N
Belgium,2002-03,B1,203,Jupiler,N
Belgium,2003-04,B1,304,Jupiler,N
Belgium,2004-05,B1,405,Jupiler,N
Belgium,2005-06,B1,506,Jupiler,N
Belgium,2006-07,B1,607,Jupiler,N
Belgium,2007-08,B1,708,Jupiler,N
Belgium,2008-09,B1,809,Jupiler,N
Belgium,2009-10,B1,910,Jupiler,N
Belgium,2010-11,B1,1011,Jupiler,N
Belgium,2011-12,B1,1112,Jupiler,N
Belgium,2012-13,B1,1213,Jupiler,N
Belgium,2013-14,B1,1314,Jupiler,N
Belgium,2014-15,B1,1415,Jupiler,N
Belgium,2015-16,B1,1516,Jupiler,N
Belgium,2016-17,B1,1617,Jupiler,N
Belgium,2017-18,B1,1718,Jupiler,N
Belgium,2018-19,B1,1819,Jupiler,N
Belgium,2019-20,B1,1920,Jupiler,N
Belgium,2020-21,B1,2021,Jupiler,N
Belgium,2021-22,B1,2122,Jupiler,N
Belgium,2022-23,B1,2223,Jupiler,N
Belgium,2023-24,B1,2324,Jupiler,Y
