League,Season,Level,Season_ID,DivName,Current Season
France,1993-94,F1,9394,Ligue 1,N
France,1994-95,F1,9495,Ligue 1,N
France,1995-96,F1,9596,Ligue 1,N
France,1996-97,F1,9697,Ligue 1,N
France,1996-97,F2,9697,Ligue 2,N
France,1997-98,F1,9798,Ligue 1,N
France,1997-98,F2,9798,Ligue 2,N
France,1998-99,F1,9899,Ligue 1,N
France,1998-99,F2,9899,Ligue 2,N
France,1999-00,F1,9900,Ligue 1,N
France,1999-00,F2,9900,Ligue 2,N
France,2000-01,F1,1,Ligue 1,N
France,2000-01,F2,1,Ligue 2,N
France,2001-02,F1,102,Ligue 1,N
France,2001-02,F2,102,Ligue 2,N
France,2002-03,F1,203,Ligue 1,N
France,2002-03,F2,203,Ligue 2,N
France,2003-04,F1,304,Ligue 1,N
France,2003-04,F2,304,Ligue 2,N
France,2004-05,F1,405,Ligue 1,N
France,2004-05,F2,405,Ligue 2,N
France,2005-06,F1,506,Ligue 1,N
France,2005-06,F2,506,Ligue 2,N
France,2006-07,F1,607,Ligue 1,N
France,2006-07,F2,607,Ligue 2,N
France,2007-08,F1,708,Ligue 1,N
France,2007-08,F2,708,Ligue 2,N
France,2008-09,F1,809,Ligue 1,N
France,2008-09,F2,809,Ligue 2,N
France,2009-10,F1,910,Ligue 1,N
France,2009-10,F2,910,Ligue 2,N
France,2010-11,F1,1011,Ligue 1,N
France,2010-11,F2,1011,Ligue 2,N
France,2011-12,F1,1112,Ligue 1,N
France,2011-12,F2,1112,Ligue 2,N
France,2012-13,F1,1213,Ligue 1,N
France,2012-13,F2,1213,Ligue 2,N
France,2013-14,F1,1314,Ligue 1,N
France,2013-14,F2,1314,Ligue 2,N
France,2014-15,F1,1415,Ligue 1,N
France,2014-15,F2,1415,Ligue 2,N
France,2015-16,F1,1516,Ligue 1,N
France,2015-16,F2,1516,Ligue 2,N
France,2016-17,F1,1617,Ligue 1,N
France,2016-17,F2,1617,Ligue 2,N
France,2017-18,F1,1718,Ligue 1,N
France,2017-18,F2,1718,Ligue 2,N
France,2018-19,F1,1819,Ligue 1,N
France,2018-19,F2,1819,Ligue 2,N
France,2019-20,F1,1920,Ligue 1,N
France,2019-20,F2,1920,Ligue 2,N
France,2020-21,F1,2021,Ligue 1,N
France,2020-21,F2,2021,Ligue 2,N
France,2021-22,F1,2122,Ligue 1,N
France,2021-22,F2,2122,Ligue 2,N
France,2022-23,F1,2223,Ligue 1,N
France,2022-23,F2,2223,Ligue 2,N
France,2023-24,F1,2324,Ligue 1,Y
France,2023-24,F2,2324,Ligue 2,Y
