League,Season,Level,Season_ID,DivName,Current Season
Greece,1994-95,G1,9495,Ethniki Katigoria,N
Greece,1995-96,G1,9596,Ethniki Katigoria,N
Greece,1996-97,G1,9697,Ethniki Katigoria,N
Greece,1997-98,G1,9798,Ethniki Katigoria,N
Greece,1998-99,G1,9899,Ethniki Katigoria,N
Greece,1999-00,G1,9900,Ethniki Katigoria,N
Greece,2000-01,G1,1,Ethniki Katigoria,N
Greece,2001-02,G1,102,Ethniki Katigoria,N
Greece,2002-03,G1,203,Ethniki Katigoria,N
Greece,2003-04,G1,304,Ethniki Katigoria,N
Greece,2004-05,G1,405,Ethniki Katigoria,N
Greece,2005-06,G1,506,Ethniki Katigoria,N
Greece,2006-07,G1,607,Ethniki Katigoria,N
Greece,2007-08,G1,708,Ethniki Katigoria,N
Greece,2008-09,G1,809,Ethniki Katigoria,N
Greece,2009-10,G1,910,Ethniki Katigoria,N
Greece,2010-11,G1,1011,Ethniki Katigoria,N
Greece,2011-12,G1,1112,Ethniki Katigoria,N
Greece,2012-13,G1,1213,Ethniki Katigoria,N
Greece,2013-14,G1,1314,Ethniki Katigoria,N
Greece,2014-15,G1,1415,Ethniki Katigoria,N
Greece,2015-16,G1,1516,Ethniki Katigoria,N
Greece,2016-17,G1,1617,Ethniki Katigoria,N
Greece,2017-18,G1,1718,Ethniki Katigoria,N
Greece,2018-19,G1,1819,Ethniki Katigoria,N
Greece,2019-20,G1,1920,Ethniki Katigoria,N
Greece,2020-21,G1,2021,Ethniki Katigoria,N
Greece,2021-22,G1,2122,Ethniki Katigoria,N
Greece,2022-23,G1,2223,Ethniki Katigoria,N
Greece,2023-24,G1,2324,Ethniki Katigoria,Y
