League,Season,Level,Season_ID,DivName,Current Season
Italy,1993-94,I1,9394,Serie A,N
Italy,1994-95,I1,9495,Serie A,N
Italy,1995-96,I1,9596,Serie A,N
Italy,1996-97,I1,9697,Serie A,N
Italy,1997-98,I1,9798,Serie A,N
Italy,1997-98,I2,9798,Serie B,N
Italy,1998-99,I1,9899,Serie A,N
Italy,1998-99,I2,9899,Serie B,N
Italy,1999-00,I1,9900,Serie A,N
Italy,1999-00,I2,9900,Serie B,N
Italy,2000-01,I1,1,Serie A,N
Italy,2000-01,I2,1,Serie B,N
Italy,2001-02,I1,102,Serie A,N
Italy,2001-02,I2,102,Serie B,N
Italy,2002-03,I1,203,Serie A,N
Italy,2002-03,I2,203,Serie B,N
Italy,2003-04,I1,304,Serie A,N
Italy,2003-04,I2,304,Serie B,N
Italy,2004-05,I1,405,Serie A,N
Italy,2004-05,I2,405,Serie B,N
Italy,2005-06,I1,506,Serie A,N
Italy,2005-06,I2,506,Serie B,N
Italy,2006-07,I1,607,Serie A,N
Italy,2006-07,I2,607,Serie B,N
Italy,2007-08,I1,708,Serie A,N
Italy,2007-08,I2,708,Serie B,N
Italy,2008-09,I1,809,Serie A,N
Italy,2008-09,I2,809,Serie B,N
Italy,2009-10,I1,910,Serie A,N
Italy,2009-10,I2,910,Serie B,N
Italy,2010-11,I1,1011,Serie A,N
Italy,2010-11,I2,1011,Serie B,N
Italy,2011-12,I1,1112,Serie A,N
Italy,2011-12,I2,1112,Serie B,N
Italy,2012-13,I1,1213,Serie A,N
Italy,2012-13,I2,1213,Serie B,N
Italy,2013-14,I1,1314,Serie A,N
Italy,2013-14,I2,1314,Serie B,N
Italy,2014-15,I1,1415,Serie A,N
Italy,2014-15,I2,1415,Serie B,N
Italy,2015-16,I1,1516,Serie A,N
Italy,2015-16,I2,1516,Serie B,N
Italy,2016-17,I1,1617,Serie A,N
Italy,2016-17,I2,1617,Serie B,N
Italy,2017-18,I1,1718,Serie A,N
Italy,2017-18,I2,1718,Serie B,N
Italy,2018-19,I1,1819,Serie A,N
Italy,2019-20,I1,1920,Serie A,N
Italy,2019-20,I2,1920,Serie B,N
Italy,2020-21,I1,2021,Serie A,N
Italy,2020-21,I2,2021,Serie B,N
Italy,2021-22,I1,2122,Serie A,N
Italy,2021-22,I2,2122,Serie B,N
Italy,2022-23,I1,2223,Serie A,N
Italy,2022-23,I2,2223,Serie B,N
Italy,2023-24,I1,2324,Serie A,Y
Italy,2023-24,I2,2324,Serie B,Y
