League,Season,Level,Season_ID,DivName,Current Season
Netherlands,1993-94,N1,9394,Eredivisie,N
Netherlands,1994-95,N1,9495,Eredivisie,N
Netherlands,1995-96,N1,9596,Eredivisie,N
Netherlands,1996-97,N1,9697,Eredivisie,N
Netherlands,1997-98,N1,9798,Eredivisie,N
Netherlands,1998-99,N1,9899,Eredivisie,N
Netherlands,1999-00,N1,9900,Eredivisie,N
Netherlands,2000-01,N1,1,Eredivisie,N
Netherlands,2001-02,N1,102,Eredivisie,N
Netherlands,2002-03,N1,203,Eredivisie,N
Netherlands,2003-04,N1,304,Eredivisie,N
Netherlands,2004-05,N1,405,Eredivisie,N
Netherlands,2005-06,N1,506,Eredivisie,N
Netherlands,2006-07,N1,607,Eredivisie,N
Netherlands,2007-08,N1,708,Eredivisie,N
Netherlands,2008-09,N1,809,Eredivisie,N
Netherlands,2009-10,N1,910,Eredivisie,N
Netherlands,2010-11,N1,1011,Eredivisie,N
Netherlands,2011-12,N1,1112,Eredivisie,N
Netherlands,2012-13,N1,1213,Eredivisie,N
Netherlands,2013-14,N1,1314,Eredivisie,N
Netherlands,2014-15,N1,1415,Eredivisie,N
Netherlands,2015-16,N1,1516,Eredivisie,N
Netherlands,2016-17,N1,1617,Eredivisie,N
Netherlands,2017-18,N1,1718,Eredivisie,N
Netherlands,2018-19,N1,1819,Eredivisie,N
Netherlands,2019-20,N1,1920,Eredivisie,N
Netherlands,2020-21,N1,2021,Eredivisie,N
Netherlands,2021-22,N1,2122,Eredivisie,N
Netherlands,2022-23,N1,2223,Eredivisie,N
Netherlands,2023-24,N1,2324,Eredivisie,Y
