League,Season,Level,Season_ID,DivName,Current Season
Portugal,1994-95,P1,9495, Liga I,N
Portugal,1995-96,P1,9596, Liga I,N
Portugal,1996-97,P1,9697, Liga I,N
Portugal,1997-98,P1,9798, Liga I,N
Portugal,1998-99,P1,9899, Liga I,N
Portugal,1999-00,P1,9900, Liga I,N
Portugal,2000-01,P1,1, Liga I,N
Portugal,2001-02,P1,102, Liga I,N
Portugal,2002-03,P1,203, Liga I,N
Portugal,2003-04,P1,304, Liga I,N
Portugal,2004-05,P1,405, Liga I,N
Portugal,2005-06,P1,506, Liga I,N
Portugal,2006-07,P1,607, Liga I,N
Portugal,2007-08,P1,708, Liga I,N
Portugal,2008-09,P1,809, Liga I,N
Portugal,2009-10,P1,910, Liga I,N
Portugal,2010-11,P1,1011, Liga I,N
Portugal,2011-12,P1,1112, Liga I,N
Portugal,2012-13,P1,1213, Liga I,N
Portugal,2013-14,P1,1314, Liga I,N
Portugal,2014-15,P1,1415, Liga I,N
Portugal,2015-16,P1,1516, Liga I,N
Portugal,2016-17,P1,1617, Liga I,N
Portugal,2017-18,P1,1718, Liga I,N
Portugal,2018-19,P1,1819, Liga I,N
Portugal,2019-20,P1,1920, Liga I,N
Portugal,2020-21,P1,2021, Liga I,N
Portugal,2021-22,P1,2122, Liga I,N
Portugal,2022-23,P1,2223, Liga I,N
Portugal,2023-24,P1,2324, Liga I,Y
