League,Season,Level,Season_ID,DivName,Current Season
Scotland,1994-95,SC0,9495,Premier League,N
Scotland,1994-95,SC1,9495,Division 1,N
Scotland,1995-96,SC0,9596,Premier League,N
Scotland,1995-96,SC1,9596,Division 1,N
Scotland,1996-97,SC0,9697,Premier League,N
Scotland,1996-97,SC1,9697,Division 1,N
Scotland,1997-98,SC0,9798,Premier League,N
Scotland,1997-98,SC1,9798,Division 1,N
Scotland,1997-98,SC2,9798,Division 2,N
Scotland,1997-98,SC3,9798,Division 3,N
Scotland,1998-99,SC0,9899,Premier League,N
Scotland,1998-99,SC1,9899,Division 1,N
Scotland,1998-99,SC2,9899,Division 2,N
Scotland,1998-99,SC3,9899,Division 3,N
Scotland,1999-00,SC0,9900,Premier League,N
Scotland,1999-00,SC1,9900,Division 1,N
Scotland,1999-00,SC2,9900,Division 2,N
Scotland,1999-00,SC3,9900,Division 3,N
Scotland,2000-01,SC0,1,Premier League,N
Scotland,2000-01,SC1,1,Division 1,N
Scotland,2000-01,SC2,1,Division 2,N
Scotland,2000-01,SC3,1,Division 3,N
Scotland,2001-02,SC0,102,Premier League,N
Scotland,2001-02,SC1,102,Division 1,N
Scotland,2001-02,SC2,102,Division 2,N
Scotland,2001-02,SC3,102,Division 3,N
Scotland,2002-03,SC0,203,Premier League,N
Scotland,2002-03,SC1,203,Division 1,N
Scotland,2002-03,SC2,203,Division 2,N
Scotland,2002-03,SC3,203,Division 3,N
Scotland,2003-04,SC0,304,Premier League,N
Scotland,2003-04,SC1,304,Division 1,N
Scotland,2003-04,SC2,304,Division 2,N
Scotland,2003-04,SC3,304,Division 3,N
Scotland,2004-05,SC0,405,Premier League,N
Scotland,2004-05,SC1,405,Division 1,N
Scotland,2004-05,SC2,405,Division 2,N
Scotland,2004-05,SC3,405,Division 3,N
Scotland,2005-06,SC0,506,Premier League,N
Scotland,2005-06,SC1,506,Division 1,N
Scotland,2005-06,SC2,506,Division 2,N
Scotland,2005-06,SC3,506,Division 3,N
Scotland,2006-07,SC0,607,Premier League,N
Scotland,2006-07,SC1,607,Division 1,N
Scotland,2006-07,SC2,607,Division 2,N
Scotland,2006-07,SC3,607,Division 3,N
Scotland,2007-08,SC0,708,Premier League,N
Scotland,2007-08,SC1,708,Division 1,N
Scotland,2007-08,SC2,708,Division 2,N
Scotland,2007-08,SC3,708,Division 3,N
Scotland,2008-09,SC0,809,Premier League,N
Scotland,2008-09,SC1,809,Division 1,N
Scotland,2008-09,SC2,809,Division 2,N
Scotland,2008-09,SC3,809,Division 3,N
Scotland,2009-10,SC0,910,Premier League,N
Scotland,2009-10,SC1,910,Division 1,N
Scotland,2009-10,SC2,910,Division 2,N
Scotland,2009-10,SC3,910,Division 3,N
Scotland,2010-11,SC0,1011,Premier League,N
Scotland,2010-11,SC1,1011,Division 1,N
Scotland,2010-11,SC2,1011,Division 2,N
Scotland,2010-11,SC3,1011,Division 3,N
Scotland,2011-12,SC0,1112,Premier League,N
Scotland,2011-12,SC1,1112,Division 1,N
Scotland,2011-12,SC2,1112,Division 2,N
Scotland,2011-12,SC3,1112,Division 3,N
Scotland,2012-13,SC0,1213,Premier League,N
Scotland,2012-13,SC1,1213,Division 1,N
Scotland,2012-13,SC2,1213,Division 2,N
Scotland,2012-13,SC3,1213,Division 3,N
Scotland,2013-14,SC0,1314,Premier League,N
Scotland,2013-14,SC1,1314,Division 1,N
Scotland,2013-14,SC2,1314,Division 2,N
Scotland,2013-14,SC3,1314,Division 3,N
Scotland,2014-15,SC0,1415,Premier League,N
Scotland,2014-15,SC1,1415,Division 1,N
Scotland,2014-15,SC2,1415,Division 2,N
Scotland,2014-15,SC3,1415,Division 3,N
Scotland,2015-16,SC0,1516,Premier League,N
Scotland,2015-16,SC1,1516,Division 1,N
Scotland,2015-16,SC2,1516,Division 2,N
Scotland,2015-16,SC3,1516,Division 3,N
Scotland,2016-17,SC0,1617,Premier League,N
Scotland,2016-17,SC1,1617,Division 1,N
Scotland,2016-17,SC2,1617,Division 2,N
Scotland,2016-17,SC3,1617,Division 3,N
Scotland,2017-18,SC0,1718,Premier League,N
Scotland,2017-18,SC1,1718,Division 1,N
Scotland,2017-18,SC2,1718,Division 2,N
Scotland,2017-18,SC3,1718,Division 3,N
Scotland,2018-19,SC0,1819,Premier League,N
Scotland,2018-19,SC1,1819,Division 1,N
Scotland,2018-19,SC2,1819,Division 2,N
Scotland,2018-19,SC3,1819,Division 3,N
Scotland,2019-20,SC0,1920,Premier League,N
Scotland,2019-20,SC1,1920,Division 1,N
Scotland,2019-20,SC2,1920,Division 2,N
Scotland,2019-20,SC3,1920,Division 3,N
Scotland,2020-21,SC0,2021,Premier League,N
Scotland,2020-21,SC1,2021,Division 1,N
Scotland,2020-21,SC2,2021,Division 2,N
Scotland,2020-21,SC3,2021,Division 3,N
Scotland,2021-22,SC0,2122,Premier League,N
Scotland,2021-22,SC1,2122,Division 1,N
Scotland,2021-22,SC2,2122,Division 2,N
Scotland,2021-22,SC3,2122,Division 3,N
Scotland,2022-23,SC0,2223,Premier League,N
Scotland,2022-23,SC1,2223,Division 1,N
Scotland,2022-23,SC2,2223,Division 2,N
Scotland,2022-23,SC3,2223,Division 3,N
Scotland,2023-24,SC0,2324,Premier League,Y
Scotland,2023-24,SC1,2324,Division 1,Y
Scotland,2023-24,SC2,2324,Division 2,Y
Scotland,2023-24,SC3,2324,Division 3,Y
