League,Season,Level,Season_ID,DivName,Current Season
Spain,1993-94,SP1,9394,La Liga Primera,N
Spain,1994-95,SP1,9495,La Liga Primera,N
Spain,1995-96,SP1,9596,La Liga Primera,N
Spain,1996-97,SP1,9697,La Liga Primera,N
Spain,1996-97,SP2,9697,La Liga Segunda,N
Spain,1997-98,SP1,9798,La Liga Primera,N
Spain,1997-98,SP2,9798,La Liga Segunda,N
Spain,1998-99,SP1,9899,La Liga Primera,N
Spain,1998-99,SP2,9899,La Liga Segunda,N
Spain,1999-00,SP1,9900,La Liga Primera,N
Spain,1999-00,SP2,9900,La Liga Segunda,N
Spain,2000-01,SP1,1,La Liga Primera,N
Spain,2000-01,SP2,1,La Liga Segunda,N
Spain,2001-02,SP1,102,La Liga Primera,N
Spain,2001-02,SP2,102,La Liga Segunda,N
Spain,2002-03,SP1,203,La Liga Primera,N
Spain,2002-03,SP2,203,La Liga Segunda,N
Spain,2003-04,SP1,304,La Liga Primera,N
Spain,2003-04,SP2,304,La Liga Segunda,N
Spain,2004-05,SP1,405,La Liga Primera,N
Spain,2004-05,SP2,405,La Liga Segunda,N
Spain,2005-06,SP1,506,La Liga Primera,N
Spain,2005-06,SP2,506,La Liga Segunda,N
Spain,2006-07,SP1,607,La Liga Primera,N
Spain,2006-07,SP2,607,La Liga Segunda,N
Spain,2007-08,SP1,708,La Liga Primera,N
Spain,2007-08,SP2,708,La Liga Segunda,N
Spain,2008-09,SP1,809,La Liga Primera,N
Spain,2008-09,SP2,809,La Liga Segunda,N
Spain,2009-10,SP1,910,La Liga Primera,N
Spain,2009-10,SP2,910,La Liga Segunda,N
Spain,2010-11,SP1,1011,La Liga Primera,N
Spain,2010-11,SP2,1011,La Liga Segunda,N
Spain,2011-12,SP1,1112,La Liga Primera,N
Spain,2011-12,SP2,1112,La Liga Segunda,N
Spain,2012-13,SP1,1213,La Liga Primera,N
Spain,2012-13,SP2,1213,La Liga Segunda,N
Spain,2013-14,SP1,1314,La Liga Primera,N
Spain,2013-14,SP2,1314,La Liga Segunda,N
Spain,2014-15,SP1,1415,La Liga Primera,N
Spain,2014-15,SP2,1415,La Liga Segunda,N
Spain,2015-16,SP1,1516,La Liga Primera,N
Spain,2015-16,SP2,1516,La Liga Segunda,N
Spain,2016-17,SP1,1617,La Liga Primera,N
Spain,2016-17,SP2,1617,La Liga Segunda,N
Spain,2017-18,SP1,1718,La Liga Primera,N
Spain,2017-18,SP2,1718,La Liga Segunda,N
Spain,2018-19,SP1,1819,La Liga Primera,N
Spain,2018-19,SP2,1819,La Liga Segunda,N
Spain,2019-20,SP1,1920,La Liga Primera,N
Spain,2019-20,SP2,1920,La Liga Segunda,N
Spain,2020-21,SP1,2021,La Liga Primera,N
Spain,2020-21,SP2,2021,La Liga Segunda,N
Spain,2021-22,SP1,2122,La Liga Primera,N
Spain,2021-22,SP2,2122,La Liga Segunda,N
Spain,2022-23,SP1,2223,La Liga Primera,N
Spain,2022-23,SP2,2223,La Liga Segunda,N
Spain,2023-24,SP1,2324,La Liga Primera,Y
Spain,2023-24,SP2,2324,La Liga Segunda,Y
