League,Season,Level,Season_ID,DivName,Current Season
Turkey,1994-95,T1,9495, Futbol Ligi 1,N
Turkey,1995-96,T1,9596, Futbol Ligi 1,N
Turkey,1996-97,T1,9697, Futbol Ligi 1,N
Turkey,1997-98,T1,9798, Futbol Ligi 1,N
Turkey,1998-99,T1,9899, Futbol Ligi 1,N
Turkey,1999-00,T1,9900, Futbol Ligi 1,N
Turkey,2000-01,T1,1, Futbol Ligi 1,N
Turkey,2001-02,T1,102, Futbol Ligi 1,N
Turkey,2002-03,T1,203, Futbol Ligi 1,N
Turkey,2003-04,T1,304, Futbol Ligi 1,N
Turkey,2004-05,T1,405, Futbol Ligi 1,N
Turkey,2005-06,T1,506, Futbol Ligi 1,N
Turkey,2006-07,T1,607, Futbol Ligi 1,N
Turkey,2007-08,T1,708, Futbol Ligi 1,N
Turkey,2008-09,T1,809, Futbol Ligi 1,N
Turkey,2009-10,T1,910, Futbol Ligi 1,N
Turkey,2010-11,T1,1011, Futbol Ligi 1,N
Turkey,2011-12,T1,1112, Futbol Ligi 1,N
Turkey,2012-13,T1,1213, Futbol Ligi 1,N
Turkey,2013-14,T1,1314, Futbol Ligi 1,N
Turkey,2014-15,T1,1415, Futbol Ligi 1,N
Turkey,2015-16,T1,1516, Futbol Ligi 1,N
Turkey,2016-17,T1,1617, Futbol Ligi 1,N
Turkey,2017-18,T1,1718, Futbol Ligi 1,N
Turkey,2018-19,T1,1819, Futbol Ligi 1,N
Turkey,2019-20,T1,1920, Futbol Ligi 1,N
Turkey,2020-21,T1,2021, Futbol Ligi 1,N
Turkey,2021-22,T1,2122, Futbol Ligi 1,N
Turkey,2022-23,T1,2223, Futbol Ligi 1,N
Turkey,2023-24,T1,2324, Futbol Ligi 1,Y
